applicant_id,age,gender,annual_income,credit_score,debt_to_income_ratio,employment_years,open_credit_lines,delinquencies_2yr,loan_amount,loan_purpose,default_status
APP-20000,59,Male,18000,597,0.347,15.2,6,0,5415,Small Business,1
APP-20001,49,Female,65020,518,0.271,6.0,8,0,26004,Small Business,1
APP-20002,35,Female,39713,751,0.465,4.8,8,0,27114,Debt Consolidation,0
APP-20003,63,Female,23804,574,0.394,4.3,9,1,4448,Home Improvement,1
APP-20004,28,Female,52679,710,0.555,1.0,7,0,20319,Credit Card Refinance,1
APP-20005,41,Male,32654,746,0.151,2.8,5,0,14771,Credit Card Refinance,0
APP-20006,59,Male,62813,694,0.161,2.1,5,0,17915,Major Purchase,0
APP-20007,39,Female,72344,685,0.181,15.3,8,0,22275,Major Purchase,0
APP-20008,43,Female,33322,696,0.286,1.4,9,0,2000,Home Improvement,1
APP-20009,31,Male,43023,724,0.511,3.2,6,1,26554,Major Purchase,1
APP-20010,31,Female,55170,708,0.245,13.9,9,1,22170,Small Business,1
APP-20011,44,Female,22609,590,0.248,7.8,6,0,26693,Debt Consolidation,1
APP-20012,56,Female,55168,788,0.37,16.7,5,0,3169,Major Purchase,0
APP-20013,60,Female,22313,673,0.421,4.7,7,0,17730,Credit Card Refinance,0
APP-20014,44,Male,66912,703,0.052,2.0,7,2,22295,Small Business,1
APP-20015,23,Female,38586,716,0.445,8.8,3,0,21484,Credit Card Refinance,0
APP-20016,42,Female,22245,745,0.241,1.7,7,0,24831,Major Purchase,0
APP-20017,22,Female,35632,738,0.308,0.9,9,0,21645,Major Purchase,1
APP-20018,44,Female,36471,678,0.49,6.1,6,0,2411,Small Business,1
APP-20019,64,Female,88228,674,0.294,5.1,6,0,27218,Credit Card Refinance,1
APP-20020,50,Male,53923,696,0.136,10.6,8,0,14154,Debt Consolidation,0
APP-20021,58,Female,28970,741,0.143,16.3,11,2,19611,Debt Consolidation,1
APP-20022,22,Female,121417,597,0.317,9.7,3,1,30431,Small Business,1
APP-20023,41,Female,69187,711,0.28,0.3,6,0,17926,Major Purchase,0
APP-20024,53,Female,40742,612,0.327,5.5,5,0,15199,Small Business,0
APP-20025,32,Female,20855,790,0.272,7.7,4,0,8692,Credit Card Refinance,0
APP-20026,42,Male,38811,693,0.469,20.1,10,1,7346,Debt Consolidation,1
APP-20027,64,Male,43421,642,0.323,2.3,9,0,8335,Major Purchase,1
APP-20028,45,Male,60052,697,0.108,0.9,7,0,17708,Credit Card Refinance,0
APP-20029,69,Male,68459,670,0.418,9.6,8,3,35522,Debt Consolidation,1
APP-20030,47,Female,76390,659,0.549,1.9,10,0,15536,Debt Consolidation,1
APP-20031,62,Female,20205,552,0.339,4.6,6,0,17766,Home Improvement,1
APP-20032,48,Male,54977,603,0.348,2.5,11,1,23539,Major Purchase,1
APP-20033,36,Male,44900,660,0.226,2.6,8,0,12384,Small Business,1
APP-20034,35,Female,213819,560,0.291,6.6,7,0,28986,Home Improvement,1
APP-20035,67,Male,50796,631,0.38,2.2,8,0,14090,Debt Consolidation,1
APP-20036,71,Male,34805,637,0.456,5.9,3,0,27808,Major Purchase,1
APP-20037,64,Male,52088,619,0.374,0.1,5,0,22805,Major Purchase,0
APP-20038,23,Male,48790,720,0.538,2.0,5,0,18688,Home Improvement,1
APP-20039,57,Male,18000,612,0.332,1.9,6,0,13131,Credit Card Refinance,1
APP-20040,71,Male,61363,675,0.185,6.9,3,0,25557,Credit Card Refinance,0
APP-20041,27,Male,41323,647,0.189,1.9,4,0,17108,Small Business,0
APP-20042,41,Female,48306,662,0.468,5.0,3,1,13943,Major Purchase,1
APP-20043,29,Male,30319,774,0.441,5.8,7,1,30724,Home Improvement,0
APP-20044,59,Female,26858,681,0.123,5.4,10,1,2000,Debt Consolidation,0
APP-20045,38,Male,79489,694,0.295,4.6,10,0,30105,Credit Card Refinance,0
APP-20046,24,Male,90187,620,0.299,2.7,3,1,34235,Home Improvement,1
APP-20047,45,Female,61694,710,0.23,2.3,5,0,10873,Small Business,1
APP-20048,34,Male,18107,707,0.151,4.2,9,0,12748,Small Business,0
APP-20049,70,Male,63939,701,0.227,0.3,8,0,9075,Major Purchase,0
APP-20050,29,Female,18255,591,0.206,10.4,7,0,24976,Small Business,1
APP-20051,46,Female,34076,631,0.154,8.7,7,0,12878,Small Business,1
APP-20052,22,Male,78909,763,0.419,2.1,10,0,17013,Credit Card Refinance,1
APP-20053,40,Male,70381,625,0.354,4.2,8,0,23089,Credit Card Refinance,1
APP-20054,48,Female,63027,772,0.264,13.5,12,0,5144,Small Business,0
APP-20055,67,Male,100921,634,0.072,1.6,5,1,5707,Major Purchase,0
APP-20056,27,Female,66703,679,0.284,6.8,7,0,20673,Credit Card Refinance,1
APP-20057,64,Female,18000,657,0.383,0.4,5,0,14919,Credit Card Refinance,1
APP-20058,28,Female,40004,615,0.232,3.7,1,1,10063,Small Business,1
APP-20059,67,Male,47911,616,0.182,10.8,5,0,18002,Major Purchase,0
APP-20060,55,Female,44922,624,0.305,4.0,8,0,17019,Small Business,0
APP-20061,34,Female,34911,679,0.36,4.8,7,0,10716,Debt Consolidation,0
APP-20062,37,Male,27817,727,0.08,11.9,9,0,19270,Debt Consolidation,0
APP-20063,56,Male,183580,675,0.482,6.3,11,0,10044,Major Purchase,1
APP-20064,70,Female,39584,667,0.17,6.0,9,0,23751,Debt Consolidation,0
APP-20065,60,Male,178685,748,0.269,4.4,7,0,16424,Major Purchase,0
APP-20066,24,Male,26167,672,0.462,5.0,5,1,32718,Debt Consolidation,1
APP-20067,22,Male,70360,634,0.335,8.1,5,2,7569,Home Improvement,1
APP-20068,26,Female,55620,605,0.452,19.4,6,2,13272,Credit Card Refinance,1
APP-20069,62,Female,29523,752,0.506,7.9,6,0,25467,Small Business,0
APP-20070,24,Female,37905,648,0.145,6.1,5,0,9591,Major Purchase,0
APP-20071,49,Male,48614,632,0.428,0.7,10,0,18263,Debt Consolidation,1
APP-20072,38,Male,30814,626,0.479,8.5,8,0,2178,Home Improvement,1
APP-20073,46,Female,42579,748,0.275,6.7,8,0,9434,Debt Consolidation,0
APP-20074,64,Male,18000,632,0.284,7.4,7,0,10527,Home Improvement,0
APP-20075,54,Male,72499,734,0.09,1.3,6,0,16633,Small Business,1
APP-20076,30,Female,96272,655,0.414,11.7,4,0,25929,Credit Card Refinance,0
APP-20077,56,Female,62937,591,0.05,0.5,11,0,15824,Credit Card Refinance,1
APP-20078,34,Female,170304,648,0.436,1.5,5,1,15409,Home Improvement,1
APP-20079,51,Female,71335,667,0.15,5.4,9,0,11570,Debt Consolidation,1
APP-20080,68,Female,91908,662,0.487,5.6,4,1,8854,Credit Card Refinance,1
APP-20081,35,Male,96867,660,0.368,1.9,6,0,26146,Debt Consolidation,0
APP-20082,28,Female,18000,649,0.441,6.0,8,0,19408,Major Purchase,1
APP-20083,34,Female,61884,618,0.222,2.5,5,0,15409,Debt Consolidation,1
APP-20084,43,Male,22911,670,0.16,0.0,8,0,30822,Major Purchase,1
APP-20085,60,Female,25603,705,0.108,0.9,6,0,2000,Major Purchase,0
APP-20086,41,Female,28174,574,0.451,10.7,8,0,26176,Credit Card Refinance,1
APP-20087,36,Female,41274,754,0.4,1.3,7,0,5417,Major Purchase,0
APP-20088,65,Female,70105,450,0.404,0.6,4,0,19061,Debt Consolidation,1
APP-20089,38,Female,62236,674,0.355,5.7,5,0,25718,Small Business,0
APP-20090,67,Female,48682,700,0.385,2.9,8,0,3714,Debt Consolidation,0
APP-20091,44,Male,72946,630,0.285,8.0,8,1,27888,Home Improvement,1
APP-20092,46,Female,75426,531,0.364,9.9,6,0,16899,Home Improvement,0
APP-20093,45,Male,62532,663,0.217,9.4,7,1,11570,Debt Consolidation,0
APP-20094,65,Male,18987,681,0.279,1.9,9,0,19774,Home Improvement,1
APP-20095,61,Male,32642,595,0.65,3.5,7,0,22180,Small Business,1
APP-20096,49,Male,49735,616,0.325,5.3,7,0,36980,Home Improvement,1
APP-20097,35,Male,73379,732,0.083,1.9,10,0,16464,Credit Card Refinance,0
APP-20098,65,Female,23606,677,0.271,0.2,4,0,24769,Small Business,1
APP-20099,21,Female,48715,571,0.193,3.4,7,1,18960,Credit Card Refinance,1
APP-20100,45,Female,20721,699,0.339,0.1,8,0,20843,Credit Card Refinance,1
APP-20101,27,Male,86185,609,0.213,15.0,5,0,15980,Small Business,0
APP-20102,29,Female,56010,619,0.295,8.0,6,0,11928,Credit Card Refinance,1
APP-20103,44,Female,23379,682,0.231,1.1,3,0,21074,Home Improvement,1
APP-20104,21,Female,23295,676,0.344,1.7,7,0,10030,Debt Consolidation,0
APP-20105,64,Male,60662,643,0.245,20.3,5,0,2000,Small Business,0
APP-20106,28,Male,104416,637,0.363,2.3,16,0,18857,Debt Consolidation,1
APP-20107,44,Male,26816,653,0.554,7.7,5,0,11400,Small Business,0
APP-20108,31,Male,75556,619,0.181,3.0,7,0,15678,Small Business,0
APP-20109,71,Male,36379,740,0.407,10.0,4,0,4657,Credit Card Refinance,1
APP-20110,37,Female,77092,568,0.05,6.1,7,0,25627,Debt Consolidation,1
APP-20111,28,Male,71378,654,0.292,0.1,7,0,2000,Home Improvement,0
APP-20112,55,Male,53391,575,0.347,1.7,6,0,21415,Debt Consolidation,1
APP-20113,55,Male,18000,730,0.23,4.1,12,0,22211,Small Business,0
APP-20114,53,Male,71300,654,0.106,13.0,7,0,19596,Home Improvement,1
APP-20115,25,Male,64609,601,0.315,0.5,12,0,26230,Credit Card Refinance,1
APP-20116,62,Male,61435,714,0.504,4.6,11,0,8579,Home Improvement,1
APP-20117,59,Male,54590,521,0.302,1.8,6,0,33694,Home Improvement,1
APP-20118,61,Female,30232,688,0.387,11.0,12,0,10816,Debt Consolidation,1
APP-20119,48,Female,88932,744,0.455,7.2,7,0,23287,Small Business,1
APP-20120,27,Male,80336,681,0.617,2.3,5,0,32576,Small Business,1
APP-20121,29,Male,27133,637,0.194,0.9,9,0,16310,Small Business,1
