customer_id,recency_days,frequency_orders,monetary_value_usd,true_segment
CUST-1000,16,11,910.8,Loyal
CUST-1001,407,1,116.84,Hibernating
CUST-1002,132,11,1306.1,At-Risk
CUST-1003,62,6,489.02,Potential
CUST-1004,35,12,1674.99,Loyal
CUST-1005,29,14,1352.08,Loyal
CUST-1006,4,22,2469.62,Champions
CUST-1007,230,9,779.49,At-Risk
CUST-1008,38,3,496.85,Potential
CUST-1009,206,7,622.49,At-Risk
CUST-1010,14,26,4673.47,Champions
CUST-1011,285,2,149.16,Hibernating
CUST-1012,235,5,749.17,At-Risk
CUST-1013,39,12,923.96,Loyal
CUST-1014,45,15,1237.9,Loyal
CUST-1015,56,15,1554.06,Loyal
CUST-1016,50,9,1819.22,Loyal
CUST-1017,20,5,440.98,Potential
CUST-1018,64,3,479.7,Potential
CUST-1019,42,14,2075.14,Loyal
CUST-1020,45,2,322.87,Potential
CUST-1021,10,19,3486.53,Champions
CUST-1022,38,6,1624.15,Loyal
CUST-1023,38,8,1189.75,Loyal
CUST-1024,79,3,520.4,Potential
CUST-1025,158,10,1070.25,At-Risk
CUST-1026,49,7,2140.42,Loyal
CUST-1027,41,6,222.94,Potential
CUST-1028,34,4,565.67,Potential
CUST-1029,10,20,4526.31,Champions
CUST-1030,76,2,353.56,Potential
CUST-1031,53,14,1891.74,Loyal
CUST-1032,17,22,3381.61,Champions
CUST-1033,221,2,88.63,Hibernating
CUST-1034,346,1,65.97,Hibernating
CUST-1035,102,4,722.18,At-Risk
CUST-1036,16,10,1458.85,Loyal
CUST-1037,8,17,2838.87,Champions
CUST-1038,69,4,210.75,Potential
CUST-1039,22,3,494.89,Potential
CUST-1040,12,13,2029.33,Champions
CUST-1041,41,5,374.53,Potential
CUST-1042,4,16,3523.25,Champions
CUST-1043,387,2,73.17,Hibernating
CUST-1044,44,14,699.33,Loyal
CUST-1045,42,5,390.08,Potential
CUST-1046,54,11,1763.93,Loyal
CUST-1047,40,5,467.01,Potential
CUST-1048,89,3,501.02,Potential
CUST-1049,30,11,1500.7,Loyal
CUST-1050,405,1,78.56,Hibernating
CUST-1051,174,5,567.19,At-Risk
CUST-1052,428,1,162.4,Hibernating
CUST-1053,369,1,111.57,Hibernating
CUST-1054,45,5,493.84,Potential
CUST-1055,280,2,166.08,Hibernating
CUST-1056,10,23,2936.85,Champions
CUST-1057,38,15,1749.89,Loyal
CUST-1058,14,17,2983.17,Champions
CUST-1059,28,14,1264.97,Loyal
CUST-1060,29,10,1613.68,Loyal
CUST-1061,16,14,1436.07,Loyal
CUST-1062,143,4,893.74,At-Risk
CUST-1063,30,11,1645.33,Loyal
CUST-1064,17,8,1080.47,Loyal
