zone_id,latitude,longitude,registered_ev_count,daily_traffic_flow,median_household_income,commercial_poi_count,power_grid_capacity_mw,existing_chargers
ZN-5000,37.81464,-122.40938,172,18246,92613,12,6.41,8
ZN-5001,37.76384,-122.45375,148,21587,67212,19,4.68,5
ZN-5002,37.82672,-122.40962,159,21172,63742,13,14.59,8
ZN-5003,37.89674,-122.37594,196,17298,100270,19,13.53,0
ZN-5004,37.75617,-122.41549,170,9756,76760,23,12.18,6
ZN-5005,37.75617,-122.41615,178,23803,50579,11,7.9,8
ZN-5006,37.90124,-122.47556,152,26443,67205,13,16.93,2
ZN-5007,37.83629,-122.47243,171,10748,70840,16,17.97,7
ZN-5008,37.73734,-122.53161,213,9532,114364,20,4.2,2
ZN-5009,37.8183,-122.27943,178,17179,99477,17,5.06,6
ZN-5010,37.73783,-122.51891,151,14242,73209,13,10.29,3
ZN-5011,37.73764,-122.47483,152,18869,80305,12,2.78,2
ZN-5012,37.79426,-122.47687,149,25247,127802,12,8.75,6
ZN-5013,37.62184,-122.34781,139,4525,118402,21,11.26,2
ZN-5014,37.63691,-122.443,153,27487,67048,17,10.23,11
ZN-5015,37.72992,-122.31958,138,15559,124088,21,6.92,8
ZN-5016,37.69387,-122.47328,123,21070,92984,13,10.58,2
ZN-5017,37.80004,-122.39708,181,21712,114990,12,17.79,5
ZN-5018,37.70226,-122.48623,196,22412,90917,10,4.76,4
ZN-5019,37.66192,-122.24779,147,18371,124645,16,12.53,2
ZN-5020,37.89215,-122.51441,141,19773,66009,16,1.95,2
ZN-5021,37.75684,-122.39461,154,19734,88613,14,2.35,6
ZN-5022,37.7803,-122.3687,146,14218,125411,14,10.75,9
ZN-5023,37.66092,-122.3863,164,7451,35184,15,3.02,7
ZN-5024,37.73135,-122.43422,170,10684,93848,18,1.59,11
ZN-5025,37.78377,-122.42979,143,17374,85161,13,4.17,11
ZN-5026,37.68282,-122.4159,139,13279,112116,12,10.97,11
ZN-5027,37.80496,-122.43116,137,13293,121747,17,13.37,13
ZN-5028,37.72685,-122.34229,163,28795,113257,18,4.7,10
ZN-5029,37.75156,-122.24256,151,23153,101025,19,12.76,0
ZN-5030,37.72676,-122.464,179,16487,96014,12,4.36,10
ZN-5031,37.92308,-122.52898,183,22032,86432,14,11.81,1
ZN-5032,37.77382,-122.42646,144,15478,100249,16,8.33,2
ZN-5033,37.69028,-122.21302,185,18664,131491,15,12.51,1
ZN-5034,37.8407,-122.48369,195,20649,74237,16,18.41,8
ZN-5035,37.67723,-122.28827,163,15494,84947,14,17.42,2
ZN-5036,37.79161,-122.28518,134,13888,93112,12,1.27,2
ZN-5037,37.61813,-122.46369,127,25343,120023,10,16.52,8
ZN-5038,37.66865,-122.37388,191,21684,100582,14,2.35,1
ZN-5039,37.79065,-122.28913,189,4472,119587,18,17.69,8
ZN-5040,37.83398,-122.44973,171,13991,120852,13,6.08,10
ZN-5041,37.78861,-122.43569,154,13312,109800,11,7.81,3
ZN-5042,37.76565,-122.46593,154,14273,68400,15,2.79,12
ZN-5043,37.75081,-122.50058,191,23174,136527,11,3.14,7
ZN-5044,37.65662,-122.47134,158,18115,130309,15,13.77,6
ZN-5045,37.71731,-122.51732,189,9662,96588,11,17.54,2
ZN-5046,37.73805,-122.41667,151,15700,60455,16,11.77,7
ZN-5047,37.85947,-122.481,164,21250,55987,18,13.58,8
ZN-5048,37.80239,-122.4007,219,16682,101357,12,14.38,7
ZN-5049,37.63386,-122.54387,160,14131,77456,18,5.75,0
ZN-5050,37.80083,-122.39293,140,19987,52070,19,1.98,15
ZN-5051,37.74409,-122.35272,142,27709,55515,20,1.23,2
ZN-5052,37.72075,-122.5789,148,20768,83250,12,7.27,10
ZN-5053,37.82383,-122.38948,146,25805,99873,14,5.38,6
ZN-5054,37.85738,-122.32119,154,14534,130142,17,2.28,10
ZN-5055,37.8494,-122.51617,135,17949,107105,16,4.31,1
ZN-5056,37.70776,-122.28559,174,17828,85464,15,3.35,7
ZN-5057,37.75016,-122.38588,152,18712,104498,14,17.03,11
ZN-5058,37.8014,-122.4758,172,20643,102264,18,3.63,16
ZN-5059,37.85294,-122.42386,191,12486,113488,15,10.5,7
ZN-5060,37.73657,-122.37473,136,21883,94001,14,11.46,8
ZN-5061,37.76005,-122.41332,164,8232,120904,12,10.6,12
