player_id,age,nominal_position,minutes_played,expected_goals_xg,expected_assists_xa,pass_completion_pct,progressive_carries_p90,tackles_p90,sprint_speed_kmh,market_value_eur_mil
PLY-8000,24,Midfielder,3029,0.33,0.09,83.1,3.6,4.4,31.9,35.69
PLY-8001,32,Midfielder,2880,0.3,0.08,85.6,7.5,2.6,28.9,8.27
PLY-8002,28,Midfielder,2400,0.35,0.06,89.9,5.3,1.3,31.9,32.03
PLY-8003,25,Midfielder,1967,0.16,0.24,90.1,5.5,1.8,33.6,37.13
PLY-8004,24,Midfielder,2172,0.52,0.22,89.3,5.4,3.3,33.9,57.56
PLY-8005,28,Winger,1416,0.06,0.38,74.3,7.1,1.3,30.4,27.33
PLY-8006,28,Winger,1152,0.03,0.72,81.9,10.1,3.5,32.0,57.26
PLY-8007,21,Midfielder,1455,0.08,0.08,82.2,0.5,1.6,34.7,17.53
PLY-8008,25,Defender,2412,0.19,0.05,86.0,4.8,3.3,30.5,31.97
PLY-8009,20,Defender,782,0.18,0.19,77.4,6.8,3.8,30.1,37.98
PLY-8010,19,Forward,2174,0.78,0.04,84.7,0.7,0.3,33.2,23.24
PLY-8011,29,Winger,996,0.13,0.29,80.3,8.7,0.2,32.9,37.47
PLY-8012,23,Winger,2327,0.17,0.27,70.7,5.5,2.1,29.7,34.68
PLY-8013,19,Midfielder,2117,0.01,0.01,91.6,4.7,2.1,28.4,1.66
PLY-8014,18,Midfielder,1506,0.13,0.32,85.8,2.9,2.5,32.0,4.69
PLY-8015,29,Midfielder,1956,0.26,0.05,93.7,6.4,2.1,30.6,16.39
PLY-8016,29,Midfielder,2774,0.01,0.12,76.0,3.9,5.0,27.8,0.5
PLY-8017,34,Forward,600,0.43,0.01,80.3,6.2,2.4,28.5,0.5
PLY-8018,27,Winger,618,0.06,0.44,80.7,7.9,0.5,32.8,38.75
PLY-8019,33,Forward,1183,0.36,0.07,83.6,2.9,0.9,29.7,0.5
PLY-8020,32,Midfielder,1055,0.16,0.25,78.0,5.5,2.2,33.4,10.27
PLY-8021,32,Winger,2636,0.05,0.32,85.3,5.7,1.7,25.4,0.5
PLY-8022,29,Defender,1732,0.34,0.04,93.5,4.6,2.9,34.4,33.14
PLY-8023,20,Midfielder,3092,0.47,0.13,88.8,3.9,2.1,30.7,30.65
PLY-8024,22,Midfielder,2552,0.2,0.03,86.6,6.3,2.1,30.4,31.55
PLY-8025,24,Forward,2750,1.2,0.1,73.7,5.6,4.1,28.1,67.92
PLY-8026,26,Defender,1587,0.15,0.07,77.4,4.4,3.3,32.5,37.34
PLY-8027,24,Forward,1119,0.53,0.44,81.7,3.1,1.7,27.5,28.35
PLY-8028,35,Midfielder,1458,1.13,0.01,82.8,2.0,4.1,31.8,0.5
PLY-8029,21,Winger,773,0.07,0.43,88.2,7.3,2.6,28.2,38.8
PLY-8030,31,Forward,1966,1.06,0.04,85.2,3.2,1.1,27.0,28.63
PLY-8031,35,Winger,3078,0.01,0.29,95.0,3.2,1.3,27.4,0.5
PLY-8032,26,Winger,1326,0.15,0.32,76.1,4.3,0.7,29.9,25.51
PLY-8033,19,Forward,2310,0.37,0.43,82.2,7.8,2.3,33.6,57.8
PLY-8034,32,Winger,2475,0.33,0.27,73.7,5.7,3.4,33.3,21.37
PLY-8035,24,Midfielder,2281,0.23,0.02,72.7,6.7,4.2,30.2,38.9
PLY-8036,29,Winger,1947,0.31,0.29,86.3,6.3,0.4,31.4,36.99
PLY-8037,25,Midfielder,1589,0.12,0.02,89.0,7.0,3.2,32.6,40.11
PLY-8038,32,Defender,1019,0.12,0.02,76.9,6.8,4.6,29.3,10.3
PLY-8039,20,Midfielder,1193,0.01,0.15,86.6,2.8,1.9,32.5,19.44
PLY-8040,31,Winger,3132,0.11,0.23,78.2,3.0,1.7,30.0,0.5
PLY-8041,34,Defender,2374,0.66,0.01,79.0,0.7,2.1,29.4,0.5
PLY-8042,21,Midfielder,3059,0.12,0.23,84.1,2.9,3.0,28.4,5.99
PLY-8043,35,Winger,1535,0.45,0.3,76.6,10.8,0.6,30.3,0.5
