date,warehouse_id,sku_id,daily_sales,is_promotion,day_of_week,month,lead_time_days
2023-01-01,WH-EAST-NJ,SKU-ELECTRONICS-01,110,0,6,1,4
2023-01-02,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,0,1,4
2023-01-03,WH-EAST-NJ,SKU-ELECTRONICS-01,139,1,1,1,4
2023-01-04,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,2,1,4
2023-01-05,WH-EAST-NJ,SKU-ELECTRONICS-01,130,1,3,1,4
2023-01-06,WH-EAST-NJ,SKU-ELECTRONICS-01,80,0,4,1,4
2023-01-07,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,5,1,4
2023-01-08,WH-EAST-NJ,SKU-ELECTRONICS-01,131,0,6,1,4
2023-01-09,WH-EAST-NJ,SKU-ELECTRONICS-01,81,0,0,1,4
2023-01-10,WH-EAST-NJ,SKU-ELECTRONICS-01,78,0,1,1,4
2023-01-11,WH-EAST-NJ,SKU-ELECTRONICS-01,79,0,2,1,4
2023-01-12,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,3,1,4
2023-01-13,WH-EAST-NJ,SKU-ELECTRONICS-01,86,0,4,1,4
2023-01-14,WH-EAST-NJ,SKU-ELECTRONICS-01,116,0,5,1,4
2023-01-15,WH-EAST-NJ,SKU-ELECTRONICS-01,188,1,6,1,4
2023-01-16,WH-EAST-NJ,SKU-ELECTRONICS-01,146,1,0,1,4
2023-01-17,WH-EAST-NJ,SKU-ELECTRONICS-01,75,0,1,1,4
2023-01-18,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,2,1,4
2023-01-19,WH-EAST-NJ,SKU-ELECTRONICS-01,134,1,3,1,4
2023-01-20,WH-EAST-NJ,SKU-ELECTRONICS-01,89,0,4,1,4
2023-01-21,WH-EAST-NJ,SKU-ELECTRONICS-01,149,0,5,1,4
2023-01-22,WH-EAST-NJ,SKU-ELECTRONICS-01,133,0,6,1,4
2023-01-23,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,0,1,4
2023-01-24,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,1,1,4
2023-01-25,WH-EAST-NJ,SKU-ELECTRONICS-01,126,1,2,1,4
2023-01-26,WH-EAST-NJ,SKU-ELECTRONICS-01,69,0,3,1,4
2023-01-27,WH-EAST-NJ,SKU-ELECTRONICS-01,72,0,4,1,4
2023-01-28,WH-EAST-NJ,SKU-ELECTRONICS-01,112,0,5,1,4
2023-01-29,WH-EAST-NJ,SKU-ELECTRONICS-01,200,1,6,1,4
2023-01-30,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,0,1,4
2023-01-31,WH-EAST-NJ,SKU-ELECTRONICS-01,83,0,1,1,4
2023-02-01,WH-EAST-NJ,SKU-ELECTRONICS-01,141,1,2,2,4
2023-02-02,WH-EAST-NJ,SKU-ELECTRONICS-01,77,0,3,2,4
2023-02-03,WH-EAST-NJ,SKU-ELECTRONICS-01,158,1,4,2,4
2023-02-04,WH-EAST-NJ,SKU-ELECTRONICS-01,143,0,5,2,4
2023-02-05,WH-EAST-NJ,SKU-ELECTRONICS-01,122,0,6,2,4
2023-02-06,WH-EAST-NJ,SKU-ELECTRONICS-01,82,0,0,2,4
2023-02-07,WH-EAST-NJ,SKU-ELECTRONICS-01,91,0,1,2,4
2023-02-08,WH-EAST-NJ,SKU-ELECTRONICS-01,107,0,2,2,4
2023-02-09,WH-EAST-NJ,SKU-ELECTRONICS-01,95,0,3,2,4
2023-02-10,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,4,2,4
2023-02-11,WH-EAST-NJ,SKU-ELECTRONICS-01,209,1,5,2,4
2023-02-12,WH-EAST-NJ,SKU-ELECTRONICS-01,196,1,6,2,4
2023-02-13,WH-EAST-NJ,SKU-ELECTRONICS-01,102,0,0,2,4
2023-02-14,WH-EAST-NJ,SKU-ELECTRONICS-01,87,0,1,2,4
2023-02-15,WH-EAST-NJ,SKU-ELECTRONICS-01,77,0,2,2,4
2023-02-16,WH-EAST-NJ,SKU-ELECTRONICS-01,90,0,3,2,4
2023-02-17,WH-EAST-NJ,SKU-ELECTRONICS-01,88,0,4,2,4
2023-02-18,WH-EAST-NJ,SKU-ELECTRONICS-01,136,0,5,2,4
2023-02-19,WH-EAST-NJ,SKU-ELECTRONICS-01,142,0,6,2,4
2023-02-20,WH-EAST-NJ,SKU-ELECTRONICS-01,106,0,0,2,4
2023-02-21,WH-EAST-NJ,SKU-ELECTRONICS-01,94,0,1,2,4
2023-02-22,WH-EAST-NJ,SKU-ELECTRONICS-01,89,0,2,2,4
