date,daily_return,realized_volatility,finbert_sentiment_polarity,news_headline_volume,vix_close
2023-01-02,-0.01626,0.2212,-0.24,39,20.59
2023-01-03,0.00614,0.2051,-0.146,49,17.92
2023-01-04,0.01488,0.1921,0.312,49,21.22
2023-01-05,-0.00753,0.2065,0.264,40,24.9
2023-01-06,-0.00098,0.1633,0.043,47,17.52
2023-01-09,0.00054,0.153,0.091,44,17.52
2023-01-10,-0.00737,0.1572,0.497,37,25.13
2023-01-11,0.00858,0.2004,-0.157,45,21.72
2023-01-12,-0.00029,0.0911,0.241,58,16.53
2023-01-13,0.00541,0.1894,-0.021,49,20.78
2023-01-16,-0.00675,0.1279,-0.026,46,16.55
2023-01-17,-0.00197,0.086,0.435,43,16.54
2023-01-18,0.00752,0.1564,0.339,44,19.52
2023-01-19,-0.00256,0.126,0.335,54,10.5
2023-01-20,0.01133,0.1005,0.507,47,11.26
2023-01-23,-0.00194,0.0929,0.057,31,16.14
2023-01-24,0.00163,0.0872,0.289,52,14.25
2023-01-25,0.01288,0.2125,-0.059,42,19.82
2023-01-26,-0.00835,0.0979,0.163,46,14.69
2023-01-27,-0.0123,0.1145,0.004,42,12.57
2023-01-30,-0.0219,0.232,0.084,50,24.66
2023-01-31,0.00916,0.1102,0.258,39,17.55
2023-02-01,-0.00623,0.1908,-0.236,37,18.78
2023-02-02,0.00846,0.05,0.782,45,12.52
2023-02-03,-0.00542,0.1638,-0.302,56,16.21
2023-02-06,0.0029,0.2148,-0.375,47,18.97
2023-02-07,0.00526,0.05,0.455,37,13.67
2023-02-08,0.02191,0.1702,0.327,45,20.08
2023-02-09,0.01667,0.1253,0.268,39,15.98
2023-02-10,0.01202,0.1527,0.27,39,17.27
2023-02-13,0.01032,0.1538,0.046,46,15.97
2023-02-14,0.01152,0.2978,-0.264,51,26.28
2023-02-15,0.00862,0.1677,0.077,45,18.44
2023-02-16,-0.00432,0.136,-0.187,43,14.06
2023-02-17,-0.00818,0.1665,0.391,37,21.95
2023-02-20,0.00037,0.1444,-0.001,42,13.37
2023-02-21,-0.00174,0.1996,-0.239,48,19.38
2023-02-22,-0.00287,0.1147,-0.062,49,10.5
2023-02-23,0.00419,0.0863,0.195,39,12.92
2023-02-24,0.01075,0.172,-0.147,51,19.33
2023-02-27,0.00137,0.1738,-0.238,48,21.6
2023-02-28,0.02022,0.2129,0.135,35,19.22
2023-03-01,-0.00837,0.1219,0.136,52,18.01
2023-03-02,-0.00145,0.1513,-0.127,48,17.24
2023-03-03,-0.00441,0.1065,-0.115,41,12.29
2023-03-06,-0.01838,0.1597,0.131,39,15.48
2023-03-07,-0.00053,0.1792,-0.457,38,16.57
2023-03-08,-0.00173,0.2779,-0.443,43,22.94
2023-03-09,0.0177,0.1815,-0.201,52,19.94
2023-03-10,0.00513,0.1191,-0.025,40,11.1
2023-03-13,-0.00893,0.1446,0.159,47,19.86
2023-03-14,0.02114,0.1776,0.566,47,16.88
2023-03-15,0.00691,0.0846,0.35,46,15.66
2023-03-16,0.00769,0.1988,-0.006,41,21.07
2023-03-17,-0.00279,0.2237,0.043,51,22.83
2023-03-20,-0.01427,0.2428,-0.301,54,22.41
2023-03-21,-0.00284,0.1383,0.044,55,14.98
2023-03-22,0.01133,0.1593,-0.051,43,17.2
2023-03-23,0.02027,0.1674,0.163,40,19.89
2023-03-24,0.02174,0.2195,-0.24,48,22.6
2023-03-27,-0.00457,0.1613,0.232,38,16.49
2023-03-28,-0.01224,0.1792,0.586,36,17.72
2023-03-29,0.0014,0.1131,0.012,40,13.85
2023-03-30,-0.00801,0.0755,0.191,48,13.48
2023-03-31,0.00384,0.1688,0.292,39,21.91
2023-04-03,-0.00244,0.3052,-0.09,54,24.2
2023-04-04,-0.00355,0.1347,0.128,47,18.2
2023-04-05,-0.02426,0.2455,0.054,38,22.71
2023-04-06,0.00769,0.2252,0.084,43,20.02
2023-04-07,-0.00463,0.1499,-0.221,45,15.79
2023-04-10,-0.01368,0.191,0.059,37,20.02
2023-04-11,-0.0444,0.2476,0.224,34,24.96
2023-04-12,0.00021,0.1108,0.558,40,18.35
2023-04-13,0.02095,0.1841,0.386,41,25.07
2023-04-14,0.00563,0.05,0.804,49,10.5
2023-04-17,-0.00495,0.1857,-0.219,46,21.95
2023-04-18,-0.00446,0.128,0.355,50,18.87
2023-04-19,0.00381,0.1156,0.114,47,17.24
2023-04-20,-0.00647,0.1093,0.816,45,18.89
2023-04-21,0.00231,0.1005,-0.233,42,10.5
2023-04-24,0.00931,0.1846,-0.244,35,17.58
2023-04-25,0.01208,0.1511,-0.16,50,20.0
2023-04-26,-0.00141,0.2876,-0.693,49,24.71
2023-04-27,-0.00199,0.1863,-0.134,40,16.32
2023-04-28,-0.00534,0.1038,-0.216,51,15.1
2023-05-01,-0.00763,0.1542,0.103,40,16.39
2023-05-02,-0.00278,0.223,0.17,42,22.34
2023-05-03,0.00258,0.0942,0.707,56,19.88
2023-05-04,0.01075,0.1798,0.383,60,16.28
2023-05-05,-0.01017,0.209,-0.152,38,20.66
2023-05-08,0.01717,0.1783,-0.264,54,18.91
2023-05-09,-0.0028,0.1871,0.222,52,22.57
2023-05-10,0.00013,0.1986,-0.412,49,15.55
2023-05-11,-0.0045,0.104,0.691,40,17.12
2023-05-12,-0.02151,0.1435,0.463,59,16.85
2023-05-15,0.00593,0.0993,-0.114,38,12.35
2023-05-16,0.01131,0.235,-0.55,56,19.74
2023-05-17,-0.00132,0.097,0.524,49,19.6
2023-05-18,0.00113,0.1735,0.01,59,18.52
2023-05-19,0.00368,0.1008,0.483,53,17.51
2023-05-22,-0.01333,0.1395,-0.508,41,12.56
2023-05-23,-0.00637,0.2032,-0.16,39,16.73
2023-05-24,0.00949,0.1816,0.052,33,17.06
2023-05-25,-0.01185,0.155,0.066,42,15.13
2023-05-26,0.00289,0.1344,-0.108,32,17.82
2023-05-29,-0.01273,0.1536,0.268,46,20.2
2023-05-30,0.00904,0.2942,-0.324,41,26.42
2023-05-31,-2e-05,0.1851,0.0,54,19.23
2023-06-01,-0.02386,0.2384,0.092,39,19.58
2023-06-02,0.01257,0.1659,0.23,54,18.19
2023-06-05,-0.00389,0.0928,0.299,54,10.5
2023-06-06,-0.00952,0.1943,-0.344,58,18.39
2023-06-07,0.00316,0.2185,-0.487,51,18.75
2023-06-08,0.01552,0.2089,0.497,45,28.85
2023-06-09,-0.0108,0.175,0.166,51,17.69
2023-06-12,0.00128,0.2253,-0.212,43,19.77
2023-06-13,0.00297,0.0953,0.593,39,18.35
2023-06-14,0.00401,0.0826,0.09,42,13.59
2023-06-15,0.00168,0.1148,0.463,41,23.3
2023-06-16,-0.00415,0.1966,0.074,28,21.66
2023-06-19,-0.00488,0.1013,0.771,43,21.82
2023-06-20,0.00067,0.05,0.664,51,14.68
2023-06-21,-0.01522,0.2313,-0.037,43,24.39
2023-06-22,-0.03162,0.174,0.39,59,12.61
2023-06-23,0.00505,0.169,0.276,47,20.96
2023-06-26,0.01372,0.2339,0.529,59,27.7
2023-06-27,-0.02397,0.1637,-0.288,47,14.34
