url_id,url_length,subdomain_count,shannon_entropy,has_ip_in_host,has_https,suspicious_keyword_count,is_phishing
URL-10000,45,1,3.088,0,1,0,0
URL-10001,93,2,4.797,0,1,0,1
URL-10002,40,2,3.584,0,1,0,0
URL-10003,51,0,3.721,0,1,0,0
URL-10004,31,2,3.285,0,1,0,0
URL-10005,48,1,3.144,0,1,1,0
URL-10006,18,1,3.937,0,1,0,0
URL-10007,81,6,4.752,1,1,2,1
URL-10008,16,2,3.151,0,1,0,0
URL-10009,34,1,2.976,0,1,0,0
URL-10010,37,2,3.259,0,1,0,0
URL-10011,44,8,5.344,0,1,1,1
URL-10012,39,4,4.209,0,0,2,1
URL-10013,26,0,3.494,0,1,0,0
URL-10014,35,3,3.453,0,1,0,0
URL-10015,20,1,3.18,0,1,0,0
URL-10016,54,0,3.983,0,1,0,0
URL-10017,34,0,3.842,0,1,0,0
URL-10018,32,0,3.814,0,1,0,0
URL-10019,57,6,3.479,0,1,0,0
URL-10020,23,1,3.64,0,1,0,0
URL-10021,24,1,2.599,0,1,0,0
URL-10022,24,0,3.571,0,1,0,0
URL-10023,37,1,4.173,0,1,0,0
URL-10024,43,2,3.297,0,1,0,0
URL-10025,114,3,4.625,0,0,1,1
URL-10026,68,2,3.45,0,1,0,0
URL-10027,12,0,3.198,0,1,0,0
URL-10028,45,0,3.177,0,1,0,0
URL-10029,31,0,3.593,0,1,1,0
URL-10030,30,0,3.789,0,1,0,0
URL-10031,30,1,3.596,0,0,0,0
URL-10032,27,1,3.099,0,1,0,0
URL-10033,76,2,4.519,0,1,1,1
URL-10034,78,6,4.753,0,1,1,1
URL-10035,59,4,4.622,0,0,3,1
URL-10036,54,0,3.427,0,1,0,0
URL-10037,19,2,3.187,0,1,0,0
URL-10038,22,2,3.771,0,1,0,0
URL-10039,12,0,4.134,0,1,0,0
URL-10040,29,0,3.893,0,1,0,0
URL-10041,39,1,4.195,0,1,0,0
URL-10042,39,3,3.283,0,1,0,0
URL-10043,61,5,4.524,1,1,3,1
URL-10044,21,2,3.951,0,1,0,0
URL-10045,47,3,3.33,0,1,0,0
URL-10046,40,1,3.211,0,1,0,0
URL-10047,46,0,3.164,0,1,0,0
URL-10048,15,3,3.468,0,1,1,0
URL-10049,41,0,2.973,0,1,0,0
URL-10050,59,5,3.977,0,0,4,1
URL-10051,82,6,4.431,0,1,3,1
URL-10052,64,1,4.561,1,0,0,1
URL-10053,71,4,3.766,1,1,3,1
URL-10054,27,0,4.216,0,1,0,0
URL-10055,111,4,5.116,1,1,3,1
URL-10056,19,2,2.942,0,0,0,0
URL-10057,51,0,3.607,0,1,0,0
URL-10058,35,1,3.415,0,1,0,0
URL-10059,51,1,3.554,0,1,0,0
URL-10060,31,1,3.722,0,1,0,0
URL-10061,31,1,3.22,0,1,1,0
URL-10062,49,3,4.953,0,0,1,1
URL-10063,48,0,2.867,0,1,0,0
URL-10064,29,0,3.529,0,1,0,0
URL-10065,45,1,2.779,0,0,0,0
URL-10066,33,3,3.957,0,1,0,0
URL-10067,86,2,4.511,0,0,2,1
URL-10068,31,4,3.603,0,1,1,0
URL-10069,44,2,4.277,0,1,1,1
URL-10070,104,1,3.918,0,1,0,1
URL-10071,23,2,4.121,0,1,0,0
URL-10072,49,1,3.988,0,1,0,0
URL-10073,76,0,5.073,0,1,1,1
URL-10074,35,1,3.89,0,1,0,0
URL-10075,45,2,3.597,0,1,0,0
URL-10076,92,3,4.409,0,1,3,1
URL-10077,37,0,3.283,0,1,0,0
URL-10078,28,2,4.11,0,1,0,0
URL-10079,16,2,3.219,0,1,0,0
URL-10080,92,2,4.454,0,0,0,1
URL-10081,30,1,3.643,0,1,0,0
URL-10082,39,2,2.873,0,1,0,0
URL-10083,33,1,3.541,0,1,0,0
URL-10084,46,3,4.072,0,1,0,0
URL-10085,30,2,3.645,0,1,0,0
URL-10086,37,0,3.511,0,1,0,0
URL-10087,52,1,3.206,0,1,0,0
URL-10088,67,4,4.473,0,0,1,1
URL-10089,37,0,3.802,0,1,0,0
URL-10090,30,0,3.51,0,1,0,0
URL-10091,30,1,3.719,0,1,0,0
URL-10092,45,2,4.462,0,1,3,1
URL-10093,31,0,3.756,0,1,1,0
URL-10094,65,6,3.893,0,1,2,1
URL-10095,35,2,3.969,0,1,0,0
URL-10096,21,1,3.604,0,1,0,0
URL-10097,59,0,3.134,0,1,0,0
URL-10098,41,2,3.543,0,1,0,0
URL-10099,21,2,3.554,0,1,0,0
URL-10100,32,1,3.327,0,1,0,0
URL-10101,39,3,3.353,0,1,0,0
URL-10102,58,0,4.234,0,1,0,0
URL-10103,24,1,3.162,0,1,0,0
URL-10104,95,2,4.626,0,0,3,1
URL-10105,54,2,3.696,0,1,0,0
URL-10106,30,1,4.263,0,1,0,0
URL-10107,83,5,4.536,0,1,1,1
URL-10108,25,0,2.87,0,0,0,0
URL-10109,35,0,2.752,0,1,0,0
URL-10110,37,0,4.382,0,1,0,0
URL-10111,45,1,2.832,0,0,0,0
URL-10112,90,3,4.964,0,0,1,1
URL-10113,47,3,4.583,0,1,1,1
URL-10114,14,1,3.224,0,1,0,0
URL-10115,100,4,4.054,1,0,0,1
URL-10116,58,3,5.184,0,0,1,1
URL-10117,40,2,3.927,0,1,0,0
