sku_id,base_price,offered_price,unit_cost_cogs,units_demanded,promo_discount_active
SKU-3000,57.45,48.26,25.85,1,1
SKU-3001,115.07,96.66,51.78,1,1
SKU-3002,93.2,111.84,41.94,1,0
SKU-3003,79.87,67.09,35.94,1,1
SKU-3004,35.6,30.26,16.02,3,1
SKU-3005,35.6,39.87,16.02,1,0
SKU-3006,25.81,24.52,11.61,2,0
SKU-3007,106.62,120.48,47.98,1,0
SKU-3008,80.11,59.28,36.05,1,1
SKU-3009,90.81,88.09,40.86,1,0
SKU-3010,22.06,15.88,9.93,9,1
SKU-3011,116.99,85.4,52.65,1,1
SKU-3012,103.24,123.89,46.46,1,0
SKU-3013,41.23,32.16,18.55,3,1
SKU-3014,38.18,37.8,17.18,1,0
SKU-3015,38.34,35.66,17.25,1,0
SKU-3016,50.42,44.87,22.69,1,1
SKU-3017,72.48,86.25,32.62,1,0
SKU-3018,63.19,44.86,28.44,1,1
SKU-3019,49.12,52.56,22.1,1,0
SKU-3020,81.19,99.86,36.54,1,0
SKU-3021,33.95,34.29,15.28,1,0
SKU-3022,49.21,60.04,22.14,1,0
SKU-3023,56.64,41.35,25.49,2,1
SKU-3024,65.61,61.02,29.52,1,0
SKU-3025,98.52,82.76,44.33,1,1
SKU-3026,39.97,43.97,17.99,1,0
SKU-3027,71.42,88.56,32.14,1,0
SKU-3028,79.24,66.56,35.66,1,1
SKU-3029,24.65,26.13,11.09,3,0
SKU-3030,80.75,65.41,36.34,1,1
SKU-3031,37.05,37.42,16.67,2,0
SKU-3032,26.51,25.45,11.93,2,0
SKU-3033,114.89,141.31,51.7,1,0
SKU-3034,116.56,120.06,52.45,1,0
SKU-3035,100.84,89.75,45.38,1,1
SKU-3036,50.46,38.35,22.71,1,1
SKU-3037,29.77,23.22,13.4,3,1
SKU-3038,88.42,72.5,39.79,1,1
SKU-3039,64.02,53.78,28.81,1,1
SKU-3040,32.2,37.67,14.49,1,0
SKU-3041,69.52,70.22,31.28,1,0
SKU-3042,23.44,23.21,10.55,3,0
SKU-3043,110.93,84.31,49.92,1,1
SKU-3044,45.88,53.68,20.65,1,0
SKU-3045,86.25,94.88,38.81,1,0
SKU-3046,51.17,37.87,23.03,1,1
