user_id,item_id,rating
USR-202,ITM-79,4
USR-279,ITM-79,5
USR-192,ITM-74,4
USR-114,ITM-83,4
USR-206,ITM-14,5
USR-171,ITM-11,5
USR-288,ITM-31,4
USR-120,ITM-66,4
USR-202,ITM-75,3
USR-221,ITM-83,5
USR-310,ITM-25,4
USR-314,ITM-60,2
USR-174,ITM-48,5
USR-302,ITM-85,4
USR-187,ITM-49,2
USR-216,ITM-47,4
USR-199,ITM-69,4
USR-203,ITM-68,5
USR-251,ITM-19,3
USR-230,ITM-73,5
USR-249,ITM-72,4
USR-152,ITM-58,2
USR-101,ITM-73,5
USR-187,ITM-41,4
USR-335,ITM-16,3
USR-257,ITM-30,4
USR-137,ITM-29,5
USR-229,ITM-35,3
USR-291,ITM-77,3
USR-287,ITM-24,2
USR-120,ITM-88,3
USR-260,ITM-23,5
USR-303,ITM-36,4
USR-157,ITM-49,3
USR-121,ITM-67,3
USR-335,ITM-37,3
USR-188,ITM-35,5
USR-148,ITM-72,3
USR-318,ITM-75,5
USR-158,ITM-34,4
USR-269,ITM-12,3
USR-319,ITM-81,5
USR-287,ITM-53,4
USR-307,ITM-51,4
USR-114,ITM-15,5
USR-289,ITM-48,2
USR-289,ITM-61,2
USR-274,ITM-32,4
USR-289,ITM-59,3
USR-150,ITM-52,3
USR-207,ITM-28,1
USR-154,ITM-78,1
USR-343,ITM-60,5
USR-163,ITM-20,2
USR-348,ITM-21,4
USR-230,ITM-83,4
USR-328,ITM-17,4
USR-150,ITM-33,1
USR-234,ITM-50,5
USR-120,ITM-45,1
USR-172,ITM-81,5
USR-266,ITM-64,5
USR-117,ITM-18,4
USR-231,ITM-56,4
USR-188,ITM-24,4
USR-159,ITM-57,3
USR-113,ITM-51,5
USR-341,ITM-69,5
USR-349,ITM-79,3
USR-108,ITM-21,4
USR-189,ITM-11,5
USR-152,ITM-16,5
USR-229,ITM-89,4
USR-183,ITM-12,4
USR-191,ITM-12,3
USR-210,ITM-36,5
USR-287,ITM-49,2
USR-298,ITM-42,4
USR-271,ITM-10,3
USR-107,ITM-17,3
USR-274,ITM-41,4
USR-134,ITM-57,5
USR-305,ITM-13,2
USR-180,ITM-79,4
USR-263,ITM-28,2
USR-149,ITM-41,3
USR-203,ITM-18,4
USR-231,ITM-21,4
USR-101,ITM-20,3
USR-233,ITM-55,3
USR-153,ITM-25,2
USR-205,ITM-10,3
USR-103,ITM-72,5
USR-153,ITM-30,5
USR-320,ITM-39,3
USR-290,ITM-22,4
USR-245,ITM-43,5
USR-317,ITM-13,1
USR-143,ITM-37,5
USR-261,ITM-68,5
USR-301,ITM-36,2
USR-289,ITM-78,3
USR-327,ITM-34,5
USR-113,ITM-12,4
USR-194,ITM-77,1
USR-147,ITM-34,3
USR-114,ITM-29,4
USR-299,ITM-43,4
USR-305,ITM-35,4
USR-314,ITM-14,5
USR-348,ITM-70,3
USR-289,ITM-18,4
USR-139,ITM-59,4
USR-312,ITM-15,4
USR-307,ITM-69,3
USR-336,ITM-53,5
USR-181,ITM-20,5
USR-210,ITM-75,4
USR-152,ITM-56,4
USR-123,ITM-82,3
USR-253,ITM-12,4
USR-316,ITM-85,4
USR-287,ITM-39,4
USR-223,ITM-30,5
USR-336,ITM-37,4
USR-140,ITM-71,3
USR-256,ITM-42,5
USR-114,ITM-44,3
USR-144,ITM-61,3
USR-164,ITM-43,3
USR-188,ITM-50,4
USR-170,ITM-60,5
USR-108,ITM-56,4
USR-187,ITM-67,5
USR-228,ITM-84,4
USR-335,ITM-66,3
USR-235,ITM-32,5
USR-315,ITM-57,3
USR-162,ITM-31,3
USR-238,ITM-26,4
USR-342,ITM-78,3
USR-180,ITM-20,1
USR-235,ITM-24,4
USR-262,ITM-44,4
USR-262,ITM-42,4
USR-132,ITM-25,5
USR-222,ITM-43,4
USR-104,ITM-75,5
USR-333,ITM-49,2
USR-330,ITM-37,4
USR-349,ITM-56,5
USR-140,ITM-48,4
USR-127,ITM-79,4
USR-234,ITM-82,3
USR-300,ITM-29,2
USR-171,ITM-10,4
USR-111,ITM-81,3
USR-261,ITM-72,5
USR-132,ITM-76,3
USR-147,ITM-13,5
USR-346,ITM-67,5
USR-250,ITM-34,3
USR-161,ITM-56,3
USR-315,ITM-47,5
USR-136,ITM-24,5
USR-198,ITM-72,4
USR-271,ITM-30,3
USR-203,ITM-66,4
USR-313,ITM-62,4
USR-318,ITM-55,3
USR-134,ITM-23,4
USR-292,ITM-85,2
USR-326,ITM-26,1
USR-200,ITM-48,3
USR-274,ITM-18,3
USR-305,ITM-86,3
USR-230,ITM-88,4
USR-100,ITM-15,3
