engine_id,cycle,sensor_2_temp,sensor_3_pressure,sensor_4_speed,sensor_7_flow,true_rul_cycles
1,1,641.82,1580.69,1400.43,553.39,221
1,2,641.71,1579.99,1398.5,552.81,220
1,3,642.27,1579.09,1400.23,552.89,219
1,4,642.16,1579.76,1399.79,552.88,218
1,5,642.28,1579.42,1400.38,552.89,217
1,6,642.68,1580.29,1399.9,553.45,216
1,7,641.46,1581.82,1401.0,552.53,215
1,8,642.76,1581.0,1400.12,552.49,214
1,9,642.57,1579.77,1399.38,552.71,213
1,10,642.2,1580.76,1400.4,553.16,212
1,11,642.7,1580.55,1399.87,553.13,211
1,12,642.77,1584.01,1400.86,553.25,210
1,13,642.68,1580.99,1399.49,552.95,209
1,14,642.2,1580.34,1400.72,552.63,208
1,15,641.95,1580.07,1401.56,552.9,207
1,16,642.89,1581.3,1401.39,552.75,206
1,17,642.58,1582.56,1400.72,552.42,205
1,18,643.17,1582.71,1399.71,552.83,204
1,19,641.91,1582.58,1400.28,552.85,203
1,20,642.52,1581.77,1399.98,552.51,202
1,21,642.78,1582.59,1402.57,552.75,201
1,22,642.96,1580.27,1400.05,552.61,200
1,23,642.93,1582.3,1401.81,552.64,199
1,24,642.33,1582.71,1401.21,552.23,198
1,25,642.79,1580.03,1401.08,552.72,197
1,26,642.86,1580.75,1401.2,552.61,196
1,27,642.49,1580.63,1401.56,552.08,195
1,28,643.85,1581.73,1400.79,552.19,194
1,29,642.92,1581.3,1399.89,552.79,193
1,30,643.14,1582.02,1402.28,552.08,192
1,31,642.88,1582.67,1401.62,552.48,191
1,32,643.19,1581.9,1402.88,552.67,190
1,33,642.26,1584.04,1403.51,552.7,189
1,34,643.22,1581.5,1402.42,552.13,188
1,35,643.48,1582.37,1402.87,552.17,187
1,36,643.2,1582.92,1403.49,552.29,186
1,37,643.25,1583.56,1402.57,551.96,185
1,38,643.24,1583.92,1402.4,551.49,184
1,39,643.69,1583.78,1401.44,552.41,183
1,40,644.28,1583.21,1401.66,552.03,182
1,41,643.58,1583.26,1402.27,552.32,181
1,42,643.55,1583.09,1403.04,551.83,180
1,43,643.69,1583.07,1403.06,552.06,179
1,44,643.95,1584.34,1400.9,552.46,178
1,45,643.33,1581.77,1400.13,551.85,177
1,46,643.76,1582.69,1402.12,551.73,176
1,47,644.15,1584.37,1402.88,551.48,175
1,48,644.75,1583.46,1403.03,551.58,174
1,49,643.87,1583.85,1402.54,552.27,173
1,50,644.43,1581.81,1403.38,552.1,172
1,51,643.95,1581.61,1403.94,552.09,171
1,52,643.28,1583.27,1403.07,552.1,170
1,53,643.98,1584.04,1404.56,552.39,169
1,54,643.69,1582.98,1402.83,551.38,168
1,55,643.57,1581.82,1402.05,552.3,167
1,56,643.8,1582.6,1403.73,551.73,166
1,57,644.35,1583.03,1401.64,551.98,165
1,58,643.6,1583.36,1402.55,551.88,164
1,59,644.04,1583.89,1401.94,552.4,163
1,60,643.82,1585.55,1403.36,551.83,162
1,61,644.48,1581.92,1404.07,551.61,161
1,62,644.86,1584.06,1403.05,551.36,160
1,63,644.11,1584.82,1402.36,551.13,159
1,64,644.11,1585.39,1404.88,551.5,158
1,65,643.87,1584.04,1403.66,551.86,157
1,66,645.38,1584.79,1404.89,551.52,156
1,67,644.6,1583.88,1403.08,551.56,155
1,68,644.49,1583.93,1403.24,551.95,154
1,69,645.49,1584.13,1403.47,551.76,153
1,70,645.95,1584.89,1404.56,552.04,152
1,71,644.86,1585.97,1404.32,551.87,151
1,72,644.34,1585.17,1404.28,551.68,150
1,73,645.25,1585.53,1403.03,551.7,149
1,74,644.48,1584.23,1403.67,551.47,148
1,75,644.25,1586.48,1403.13,551.95,147
1,76,644.46,1586.74,1404.09,550.94,146
1,77,644.53,1586.86,1404.52,551.42,145
1,78,644.1,1587.01,1405.71,551.93,144
1,79,644.78,1585.87,1404.66,550.94,143
1,80,645.14,1586.76,1404.94,551.05,142
1,81,644.76,1586.49,1404.88,550.68,141
1,82,644.16,1585.52,1403.96,551.25,140
1,83,645.01,1586.86,1404.57,551.4,139
1,84,644.68,1581.71,1405.44,551.94,138
1,85,645.12,1586.12,1404.85,551.78,137
1,86,645.65,1586.48,1404.69,551.27,136
1,87,644.76,1585.5,1405.41,551.17,135
1,88,645.39,1584.61,1405.11,550.78,134
1,89,645.52,1585.87,1403.42,551.52,133
1,90,645.38,1588.4,1406.05,550.91,132
1,91,645.17,1584.82,1403.65,551.03,131
1,92,646.1,1584.0,1405.65,551.37,130
1,93,645.78,1587.25,1404.14,551.34,129
1,94,645.38,1583.49,1405.13,550.84,128
1,95,646.18,1586.16,1405.17,551.19,127
1,96,645.57,1586.45,1405.86,550.73,126
1,97,645.43,1585.48,1406.39,550.82,125
1,98,645.69,1585.99,1405.05,550.79,124
1,99,645.98,1585.53,1404.27,550.83,123
1,100,645.51,1585.24,1405.15,550.47,122
1,101,646.56,1585.12,1404.94,550.83,121
1,102,646.58,1584.91,1405.63,551.24,120
1,103,645.82,1585.65,1405.48,551.37,119
1,104,645.74,1588.84,1405.83,551.26,118
1,105,646.11,1586.61,1406.99,550.94,117
1,106,646.13,1588.23,1406.47,551.1,116
1,107,645.56,1586.56,1405.26,550.6,115
1,108,645.79,1586.59,1406.11,550.96,114
