property_id,square_footage,bedrooms,bathrooms,year_built,distance_to_transit_km,school_rating,visual_aesthetic_score,interior_modernity_index,valuation_usd
PROP-10000,2422,4,3,1987,1.37,10,4.17,0.19,1084500
PROP-10001,2010,3,2,1990,1.77,6,4.86,0.99,907200
PROP-10002,2520,4,3,1956,1.83,7,8.42,0.46,1159800
PROP-10003,3089,5,4,2002,2.88,6,7.9,0.25,1314900
PROP-10004,1947,2,1,2012,0.91,2,4.37,0.83,796000
PROP-10005,1947,3,2,1981,6.05,2,6.09,0.3,802500
PROP-10006,3126,5,3,1987,1.23,5,8.52,0.57,1282800
PROP-10007,2598,4,3,1971,4.28,4,1.16,0.22,930700
PROP-10008,1794,3,2,1965,2.52,9,8.22,0.53,988100
PROP-10009,2452,5,4,2001,3.09,8,9.52,0.6,1271100
PROP-10010,1798,2,2,1978,0.69,8,1.29,0.5,752900
PROP-10011,1797,3,2,1965,4.65,9,1.41,0.16,744300
PROP-10012,2257,3,2,1966,0.73,8,4.1,0.54,976000
PROP-10013,856,1,1,2013,0.42,3,1.79,0.52,422000
PROP-10014,978,2,1,1962,2.77,5,5.31,0.34,536200
PROP-10015,1734,3,2,2021,4.32,7,7.56,0.93,940100
PROP-10016,1441,2,1,2005,0.2,4,6.1,0.48,699000
PROP-10017,2304,3,3,1954,0.25,4,2.77,0.88,931400
PROP-10018,1509,3,2,1961,5.68,7,6.89,0.2,781200
PROP-10019,1182,1,1,1990,5.79,2,7.16,0.39,532100
PROP-10020,3052,5,5,1952,0.99,2,9.39,0.26,1266100
PROP-10021,1953,3,2,1982,3.34,6,2.32,0.47,834100
PROP-10022,2143,4,2,1999,2.05,2,7.23,0.2,932000
PROP-10023,1173,1,1,2005,3.51,9,9.2,0.5,770400
PROP-10024,1746,1,1,1958,6.95,3,5.51,0.42,667000
PROP-10025,2172,4,3,1999,0.29,7,4.26,0.3,1000200
PROP-10026,1351,3,2,1978,5.27,6,2.54,0.68,636200
PROP-10027,2344,5,4,1988,2.38,5,8.8,0.96,1160500
PROP-10028,1709,3,3,1994,2.91,2,4.55,0.29,747700
PROP-10029,1910,3,3,1966,3.71,4,9.32,0.74,916900
PROP-10030,1708,3,3,2005,8.96,5,8.63,0.77,885100
PROP-10031,3303,5,3,1995,0.2,3,4.39,0.55,1239800
PROP-10032,2091,4,3,2016,0.2,3,6.17,0.91,999100
PROP-10033,1412,3,1,2018,0.69,3,1.24,0.97,646800
PROP-10034,2634,5,3,1963,15.05,2,3.37,0.43,903100
PROP-10035,1306,4,3,2016,4.39,3,7.39,0.69,740000
PROP-10036,2235,4,3,1972,3.34,7,7.1,0.7,1033300
PROP-10037,826,1,1,2010,0.2,4,4.18,0.46,531500
PROP-10038,1236,2,1,1972,7.4,6,8.28,0.39,671600
PROP-10039,2227,3,2,1976,5.86,2,3.12,0.94,829200
PROP-10040,2580,4,3,2003,3.83,9,5.15,0.81,1160900
PROP-10041,2211,3,3,1959,1.45,5,5.25,0.2,937600
PROP-10042,2024,3,2,1965,0.26,10,4.07,0.21,920600
PROP-10043,1904,3,2,1990,3.04,5,9.59,0.93,964300
PROP-10044,1138,1,1,2004,4.45,3,7.27,0.17,574800
PROP-10045,1632,3,2,2010,0.35,4,5.85,0.72,834600
PROP-10046,1800,3,3,1998,3.52,6,5.59,0.3,883000
PROP-10047,2787,5,5,2022,1.18,7,2.43,0.13,1169700
PROP-10048,2323,4,3,2001,5.06,8,4.35,0.15,1064700
PROP-10049,954,2,2,1951,2.71,5,7.05,0.44,557100
PROP-10050,2310,4,3,1999,0.48,8,9.32,0.17,1113200
PROP-10051,1849,3,2,1992,2.62,4,8.35,0.64,948700
PROP-10052,1660,2,2,1957,1.76,8,3.7,0.68,764100
PROP-10053,2497,4,3,2008,0.7,5,4.91,0.44,1094100
PROP-10054,2770,4,3,2014,6.45,9,1.75,0.77,1193800
PROP-10055,2705,4,3,1961,0.2,10,1.92,0.54,1085000
PROP-10056,1554,2,2,1953,1.31,8,5.23,0.49,774400
PROP-10057,1899,4,3,1990,0.2,9,5.77,0.47,1019800
PROP-10058,2315,4,3,1956,0.35,9,3.38,0.49,985600
PROP-10059,2734,5,4,2018,1.23,3,6.79,0.97,1265700
PROP-10060,1788,3,3,2018,0.2,10,7.33,0.71,1009000
PROP-10061,1979,3,2,1979,3.18,7,3.69,0.38,856900
PROP-10062,1380,3,2,2022,0.32,5,7.83,0.76,809600
PROP-10063,1322,2,2,1955,4.23,6,2.85,0.4,606900
PROP-10064,2628,5,3,1968,0.2,6,5.9,0.21,1096500
PROP-10065,2981,5,3,2015,0.21,8,8.24,0.53,1366900
PROP-10066,2053,2,2,1959,1.28,10,5.83,0.78,950900
PROP-10067,2752,5,4,1965,7.94,8,9.17,0.44,1233700
PROP-10068,2335,5,3,1986,3.59,10,1.53,0.88,1023000
PROP-10069,1680,3,3,1981,5.15,5,6.29,0.45,819500
PROP-10070,2334,4,3,1996,0.53,5,6.06,0.41,1047700
PROP-10071,3099,6,4,2021,6.29,7,6.94,1.0,1398800
PROP-10072,2076,4,2,1992,0.2,9,8.5,0.53,1072000
PROP-10073,3117,5,4,1985,0.84,10,7.53,0.82,1426700
PROP-10074,750,1,1,1975,3.35,2,8.11,0.82,453800
PROP-10075,2634,4,3,1959,1.65,2,3.6,0.93,977700
PROP-10076,2156,4,3,1980,14.52,9,4.49,0.18,936700
PROP-10077,1905,4,2,1978,0.2,8,6.64,0.34,960100
PROP-10078,2159,4,3,1954,20.0,10,5.98,0.79,972700
PROP-10079,808,1,1,1950,3.42,4,9.65,0.61,512200
PROP-10080,1957,3,3,1952,2.86,6,2.68,0.6,822500
PROP-10081,2332,4,3,2016,0.21,4,4.16,0.25,1007400
