source_node,target_node,relation_type
USR-100,USR-128,shared_device
USR-100,USR-114,shared_device
USR-100,USR-107,shared_device
USR-100,USR-120,shared_device
USR-100,USR-138,shared_device
USR-100,USR-118,shared_device
USR-101,USR-110,shared_device
USR-101,USR-123,shared_device
USR-101,USR-135,shared_device
USR-101,USR-139,shared_device
USR-102,USR-121,shared_device
USR-102,USR-101,shared_device
USR-102,USR-123,shared_device
USR-102,USR-129,shared_device
USR-102,USR-137,shared_device
USR-103,USR-120,shared_device
USR-103,USR-132,shared_device
USR-103,USR-111,shared_device
USR-103,USR-121,shared_device
USR-104,USR-124,shared_device
USR-104,USR-126,shared_device
USR-104,USR-127,shared_device
USR-104,USR-115,shared_device
USR-104,USR-114,shared_device
USR-104,USR-102,shared_device
USR-104,USR-136,shared_device
USR-105,USR-106,shared_device
USR-105,USR-120,shared_device
USR-105,USR-108,shared_device
USR-105,USR-138,shared_device
USR-105,USR-117,shared_device
USR-106,USR-124,shared_device
USR-106,USR-113,shared_device
USR-106,USR-108,shared_device
USR-106,USR-125,shared_device
USR-106,USR-101,shared_device
USR-106,USR-119,shared_device
USR-107,USR-106,shared_device
USR-107,USR-134,shared_device
USR-107,USR-113,shared_device
USR-107,USR-116,shared_device
USR-107,USR-135,shared_device
USR-108,USR-139,shared_device
USR-108,USR-103,shared_device
USR-108,USR-101,shared_device
USR-108,USR-105,shared_device
USR-109,USR-103,shared_device
USR-109,USR-128,shared_device
USR-109,USR-117,shared_device
USR-109,USR-125,shared_device
USR-110,USR-133,shared_device
USR-110,USR-109,shared_device
USR-110,USR-135,shared_device
USR-110,USR-113,shared_device
USR-110,USR-130,shared_device
USR-110,USR-114,shared_device
USR-111,USR-139,shared_device
USR-111,USR-120,shared_device
USR-111,USR-115,shared_device
USR-111,USR-117,shared_device
USR-111,USR-123,shared_device
USR-111,USR-125,shared_device
USR-112,USR-128,shared_device
USR-112,USR-114,shared_device
USR-112,USR-100,shared_device
USR-113,USR-106,shared_device
USR-113,USR-108,shared_device
USR-113,USR-123,shared_device
USR-114,USR-107,shared_device
USR-114,USR-123,shared_device
USR-114,USR-110,shared_device
USR-115,USR-116,shared_device
USR-115,USR-107,shared_device
USR-115,USR-134,shared_device
USR-115,USR-132,shared_device
USR-116,USR-104,shared_device
USR-116,USR-138,shared_device
USR-116,USR-127,shared_device
USR-116,USR-106,shared_device
USR-116,USR-108,shared_device
USR-117,USR-133,shared_device
USR-117,USR-132,shared_device
USR-117,USR-122,shared_device
USR-117,USR-123,shared_device
USR-117,USR-136,shared_device
USR-117,USR-134,shared_device
USR-118,USR-139,shared_device
USR-118,USR-121,shared_device
USR-118,USR-126,shared_device
USR-118,USR-134,shared_device
USR-118,USR-100,shared_device
USR-119,USR-113,shared_device
USR-119,USR-102,shared_device
USR-119,USR-100,shared_device
USR-119,USR-104,shared_device
USR-119,USR-125,shared_device
USR-119,USR-138,shared_device
USR-120,USR-108,shared_device
USR-120,USR-114,shared_device
USR-120,USR-125,shared_device
USR-120,USR-112,shared_device
USR-121,USR-131,shared_device
USR-121,USR-138,shared_device
USR-121,USR-103,shared_device
USR-121,USR-129,shared_device
USR-122,USR-138,shared_device
USR-122,USR-114,shared_device
USR-122,USR-128,shared_device
USR-122,USR-135,shared_device
USR-122,USR-112,shared_device
USR-122,USR-131,shared_device
USR-123,USR-121,shared_device
USR-123,USR-127,shared_device
USR-123,USR-101,shared_device
USR-123,USR-105,shared_device
USR-124,USR-119,shared_device
USR-124,USR-129,shared_device
USR-124,USR-110,shared_device
USR-124,USR-127,shared_device
USR-124,USR-138,shared_device
USR-125,USR-100,shared_device
USR-125,USR-126,shared_device
USR-125,USR-112,shared_device
USR-126,USR-102,shared_device
USR-126,USR-138,shared_device
USR-126,USR-105,shared_device
USR-127,USR-108,shared_device
USR-127,USR-136,shared_device
USR-127,USR-132,shared_device
USR-127,USR-123,shared_device
USR-127,USR-114,shared_device
USR-128,USR-131,shared_device
USR-128,USR-123,shared_device
USR-128,USR-111,shared_device
USR-128,USR-138,shared_device
USR-129,USR-102,shared_device
USR-129,USR-136,shared_device
USR-129,USR-116,shared_device
USR-129,USR-101,shared_device
USR-130,USR-127,shared_device
USR-130,USR-122,shared_device
USR-130,USR-136,shared_device
USR-130,USR-131,shared_device
USR-131,USR-100,shared_device
USR-131,USR-118,shared_device
USR-131,USR-101,shared_device
USR-132,USR-125,shared_device
USR-132,USR-131,shared_device
USR-132,USR-105,shared_device
USR-132,USR-103,shared_device
USR-132,USR-110,shared_device
USR-132,USR-116,shared_device
USR-133,USR-105,shared_device
USR-133,USR-121,shared_device
USR-133,USR-110,shared_device
USR-133,USR-115,shared_device
USR-133,USR-132,shared_device
USR-133,USR-108,shared_device
USR-134,USR-105,shared_device
USR-134,USR-115,shared_device
USR-134,USR-128,shared_device
USR-134,USR-102,shared_device
USR-134,USR-119,shared_device
USR-134,USR-135,shared_device
USR-135,USR-125,shared_device
USR-135,USR-102,shared_device
USR-135,USR-118,shared_device
USR-135,USR-119,shared_device
USR-135,USR-131,shared_device
USR-136,USR-132,shared_device
USR-136,USR-139,shared_device
USR-136,USR-138,shared_device
USR-136,USR-117,shared_device
USR-136,USR-100,shared_device
USR-137,USR-127,shared_device
USR-137,USR-124,shared_device
USR-137,USR-122,shared_device
USR-137,USR-130,shared_device
USR-137,USR-129,shared_device
USR-138,USR-134,shared_device
USR-138,USR-106,shared_device
USR-138,USR-115,shared_device
USR-138,USR-125,shared_device
USR-139,USR-101,shared_device
USR-139,USR-100,shared_device
USR-139,USR-111,shared_device
USR-450,USR-481,shared_phone
USR-450,USR-458,shared_phone
USR-450,USR-484,shared_phone
USR-450,USR-468,shared_phone
USR-450,USR-465,shared_phone
USR-450,USR-452,shared_phone
USR-450,USR-469,shared_phone
USR-451,USR-473,shared_phone
USR-451,USR-460,shared_phone
USR-451,USR-457,shared_phone
USR-452,USR-469,shared_phone
USR-452,USR-484,shared_phone
USR-452,USR-474,shared_phone
USR-452,USR-478,shared_phone
USR-453,USR-467,shared_phone
USR-453,USR-451,shared_phone
USR-453,USR-484,shared_phone
USR-453,USR-465,shared_phone
USR-454,USR-482,shared_phone
USR-454,USR-453,shared_phone
USR-454,USR-463,shared_phone
USR-454,USR-470,shared_phone
USR-454,USR-469,shared_phone
USR-454,USR-457,shared_phone
USR-455,USR-466,shared_phone
USR-455,USR-482,shared_phone
USR-455,USR-461,shared_phone
USR-455,USR-471,shared_phone
USR-456,USR-457,shared_phone
USR-456,USR-476,shared_phone
USR-456,USR-483,shared_phone
USR-456,USR-470,shared_phone
USR-456,USR-479,shared_phone
USR-456,USR-482,shared_phone
USR-457,USR-482,shared_phone
USR-457,USR-454,shared_phone
USR-457,USR-468,shared_phone
USR-457,USR-453,shared_phone
USR-457,USR-484,shared_phone
USR-457,USR-466,shared_phone
USR-458,USR-477,shared_phone
USR-458,USR-479,shared_phone
USR-458,USR-478,shared_phone
USR-458,USR-455,shared_phone
USR-458,USR-484,shared_phone
USR-458,USR-473,shared_phone
USR-459,USR-480,shared_phone
USR-459,USR-484,shared_phone
USR-459,USR-482,shared_phone
USR-459,USR-470,shared_phone
USR-459,USR-481,shared_phone
USR-459,USR-472,shared_phone
USR-460,USR-467,shared_phone
USR-460,USR-474,shared_phone
USR-460,USR-480,shared_phone
USR-460,USR-452,shared_phone
USR-460,USR-473,shared_phone
USR-461,USR-481,shared_phone
USR-461,USR-471,shared_phone
USR-461,USR-472,shared_phone
USR-461,USR-451,shared_phone
USR-462,USR-451,shared_phone
USR-462,USR-475,shared_phone
USR-462,USR-466,shared_phone
