node_id,account_age_days,daily_tx_volume_usd,is_fraud_ring_member
USR-0,798,90.47,0
USR-1,483,112.51,0
USR-2,100,119.71,0
USR-3,543,139.35,0
USR-4,874,142.24,0
USR-5,102,0.25,0
USR-6,914,4.69,0
USR-7,1049,339.25,0
USR-8,1060,736.24,0
USR-9,258,52.79,0
USR-10,181,65.66,0
USR-11,404,262.6,0
USR-12,203,110.41,0
USR-13,1027,40.31,0
USR-14,8,391.55,0
USR-15,1001,223.78,0
USR-16,866,50.17,0
USR-17,545,25.85,0
USR-18,461,6.65,0
USR-19,147,93.93,0
USR-20,450,37.21,0
USR-21,1078,197.96,0
USR-22,623,95.54,0
USR-23,967,276.27,0
USR-24,131,461.16,0
USR-25,982,145.02,0
USR-26,900,5.51,0
USR-27,322,262.71,0
USR-28,845,255.93,0
USR-29,592,121.69,0
USR-30,258,1.41,0
USR-31,549,204.1,0
USR-32,1190,410.59,0
USR-33,881,55.37,0
USR-34,1163,197.9,0
USR-35,1086,17.18,0
USR-36,458,23.5,0
USR-37,98,403.36,0
USR-38,650,107.92,0
USR-39,467,86.53,0
USR-40,721,120.28,0
USR-41,273,35.47,0
USR-42,848,226.71,0
USR-43,682,310.78,0
USR-44,1104,101.92,0
USR-45,363,264.08,0
USR-46,934,207.92,0
USR-47,572,8.34,0
USR-48,1196,215.78,0
USR-49,27,137.09,0
USR-50,324,580.21,0
USR-51,816,138.59,0
USR-52,68,114.0,0
USR-53,1073,6.82,0
USR-54,1001,349.33,0
USR-55,948,386.7,0
USR-56,134,121.85,0
USR-57,506,172.46,0
USR-58,467,458.02,0
USR-59,917,2.81,0
USR-60,45,204.78,0
USR-61,127,225.56,0
USR-62,86,231.16,0
USR-63,1161,121.72,0
USR-64,626,270.77,0
USR-65,1032,338.99,0
USR-66,1079,49.86,0
USR-67,282,21.47,0
USR-68,511,347.23,0
USR-69,1027,76.7,0
USR-70,335,24.6,0
USR-71,991,487.01,0
USR-72,888,75.1,0
USR-73,1022,17.63,0
USR-74,46,484.08,0
USR-75,177,19.98,0
USR-76,885,70.75,0
USR-77,976,61.3,0
USR-78,533,18.79,0
USR-79,476,52.11,0
USR-80,441,248.45,0
USR-81,925,433.25,0
USR-82,621,141.99,0
USR-83,151,24.99,0
USR-84,999,50.56,0
USR-85,703,37.04,0
USR-86,70,21.96,0
USR-87,697,208.87,0
USR-88,351,234.98,0
USR-89,550,404.18,0
USR-90,340,109.97,0
USR-91,322,214.9,0
USR-92,465,115.99,0
USR-93,717,130.01,0
USR-94,59,283.83,0
USR-95,138,241.35,0
USR-96,613,164.92,0
USR-97,382,47.94,0
USR-98,140,30.63,0
USR-99,739,182.5,0
USR-100,999,147.59,1
USR-101,455,39.92,1
USR-102,201,28.1,1
USR-103,1037,1.93,1
USR-104,1086,84.9,1
USR-105,913,17.46,1
USR-106,607,86.74,1
USR-107,674,53.23,1
USR-108,366,385.48,1
USR-109,345,404.43,1
USR-110,580,79.56,1
USR-111,162,22.15,1
USR-112,316,21.19,1
USR-113,606,101.2,1
USR-114,599,20.34,1
USR-115,728,90.18,1
USR-116,638,173.04,1
USR-117,910,397.97,1
USR-118,658,216.84,1
USR-119,26,56.42,1
USR-120,76,108.76,1
USR-121,914,14.66,1
USR-122,39,53.67,1
USR-123,812,220.57,1
USR-124,827,136.35,1
USR-125,187,246.71,1
USR-126,1005,12.21,1
USR-127,663,61.98,1
USR-128,61,118.38,1
USR-129,1085,371.32,1
USR-130,1042,64.75,1
USR-131,152,98.26,1
USR-132,512,77.67,1
USR-133,628,148.9,1
USR-134,910,36.58,1
USR-135,373,42.62,1
USR-136,78,41.18,1
USR-137,28,208.11,1
USR-138,419,54.09,1
USR-139,720,101.25,1
USR-140,909,415.59,0
USR-141,1152,2.55,0
USR-142,497,111.59,0
USR-143,74,10.15,0
USR-144,1056,44.78,0
USR-145,225,59.08,0
USR-146,907,474.01,0
USR-147,36,31.06,0
USR-148,949,285.03,0
USR-149,338,191.08,0
USR-150,944,122.33,0
USR-151,778,64.14,0
USR-152,1085,166.96,0
USR-153,430,45.13,0
USR-154,848,27.38,0
USR-155,845,192.59,0
USR-156,594,32.74,0
USR-157,96,196.91,0
USR-158,1188,86.74,0
USR-159,736,185.26,0
USR-160,31,192.83,0
USR-161,70,312.32,0
USR-162,638,119.75,0
USR-163,472,36.7,0
USR-164,395,110.73,0
USR-165,279,13.63,0
USR-166,979,63.6,0
USR-167,58,39.57,0
USR-168,989,22.45,0
USR-169,1180,28.72,0
USR-170,939,576.06,0
USR-171,1057,526.89,0
USR-172,444,202.3,0
USR-173,414,264.7,0
USR-174,811,84.18,0
USR-175,1113,213.65,0
USR-176,991,786.52,0
USR-177,669,76.6,0
USR-178,1034,49.01,0
USR-179,1125,262.8,0
USR-180,383,63.93,0
USR-181,1124,37.37,0
USR-182,226,43.51,0
USR-183,936,371.4,0
USR-184,310,69.85,0
USR-185,216,237.87,0
USR-186,438,91.42,0
USR-187,1103,114.0,0
USR-188,918,35.03,0
USR-189,360,194.88,0
USR-190,948,28.27,0
USR-191,332,120.49,0
USR-192,65,166.52,0
USR-193,858,272.06,0
USR-194,690,485.64,0
USR-195,352,83.16,0
USR-196,1013,9.43,0
USR-197,861,73.13,0
USR-198,675,55.82,0
USR-199,507,545.59,0
USR-200,702,23.18,0
USR-201,86,225.39,0
USR-202,574,65.12,0
USR-203,442,47.07,0
USR-204,486,98.71,0
USR-205,668,207.41,0
USR-206,552,108.36,0
USR-207,404,9.2,0
USR-208,1102,20.52,0
USR-209,217,29.72,0
USR-210,316,191.03,0
USR-211,1102,297.26,0
USR-212,693,519.14,0
USR-213,796,220.16,0
USR-214,439,296.96,0
USR-215,529,121.64,0
USR-216,796,341.78,0
USR-217,1152,201.72,0
USR-218,1114,78.02,0
USR-219,754,109.44,0
USR-220,73,11.18,0
USR-221,885,5.17,0
USR-222,799,138.96,0
USR-223,352,247.44,0
USR-224,38,93.12,0
USR-225,161,32.59,0
USR-226,771,86.35,0
USR-227,726,48.23,0
USR-228,445,710.69,0
USR-229,1041,216.59,0
USR-230,1116,85.95,0
USR-231,583,55.22,0
USR-232,876,11.02,0
USR-233,940,31.99,0
USR-234,196,250.29,0
USR-235,654,124.98,0
USR-236,683,1.89,0
USR-237,927,606.47,0
USR-238,614,104.14,0
USR-239,1013,156.81,0
USR-240,1119,311.9,0
USR-241,846,6.6,0
USR-242,498,183.76,0
USR-243,877,427.56,0
USR-244,1019,165.59,0
USR-245,346,87.78,0
USR-246,1186,8.8,0
USR-247,1035,322.46,0
USR-248,109,196.75,0
USR-249,87,101.15,0
USR-250,663,104.81,0
USR-251,912,46.67,0
USR-252,35,64.72,0
USR-253,961,192.04,0
USR-254,332,829.59,0
USR-255,709,201.41,0
USR-256,1162,20.54,0
USR-257,112,180.4,0
USR-258,599,95.14,0
USR-259,1199,0.54,0
USR-260,1027,82.26,0
USR-261,976,145.65,0
USR-262,630,135.5,0
USR-263,558,96.2,0
USR-264,1193,186.81,0
USR-265,1114,26.47,0
USR-266,878,50.68,0
USR-267,550,450.43,0
USR-268,432,16.56,0
USR-269,1193,144.94,0
USR-270,562,155.51,0
USR-271,1062,126.94,0
USR-272,283,16.12,0
USR-273,548,137.17,0
USR-274,646,238.02,0
USR-275,243,184.65,0
USR-276,130,261.91,0
USR-277,393,181.41,0
USR-278,418,7.6,0
USR-279,1074,31.16,0
USR-280,351,91.5,0
USR-281,136,117.32,0
USR-282,11,164.29,0
USR-283,1102,32.04,0
USR-284,624,632.97,0
USR-285,387,190.85,0
USR-286,749,16.58,0
USR-287,351,138.16,0
USR-288,373,152.79,0
USR-289,10,63.54,0
USR-290,421,510.06,0
USR-291,1042,3.51,0
USR-292,72,106.89,0
USR-293,183,586.8,0
USR-294,340,39.89,0
USR-295,842,118.35,0
USR-296,123,71.64,0
USR-297,504,36.98,0
USR-298,1110,14.84,0
USR-299,600,182.75,0
USR-300,905,414.52,0
USR-301,955,84.47,0
USR-302,573,29.09,0
USR-303,1032,204.25,0
USR-304,600,179.32,0
USR-305,312,197.36,0
USR-306,482,183.81,0
USR-307,971,335.89,0
USR-308,575,173.45,0
USR-309,157,632.62,0
USR-310,1040,366.94,0
USR-311,63,177.75,0
USR-312,298,105.78,0
USR-313,313,24.63,0
USR-314,213,368.13,0
USR-315,694,71.99,0
USR-316,32,185.94,0
USR-317,166,116.33,0
USR-318,1047,256.06,0
USR-319,96,79.12,0
USR-320,305,158.62,0
USR-321,971,212.35,0
USR-322,866,200.89,0
USR-323,459,65.47,0
USR-324,539,86.76,0
USR-325,1188,45.6,0
USR-326,1171,50.75,0
USR-327,481,7.2,0
USR-328,933,204.24,0
USR-329,328,439.14,0
USR-330,36,43.04,0
USR-331,797,81.97,0
USR-332,229,93.62,0
USR-333,951,53.81,0
USR-334,533,756.67,0
USR-335,220,114.17,0
USR-336,1135,78.65,0
USR-337,29,16.72,0
USR-338,959,258.02,0
USR-339,1053,51.85,0
USR-340,442,101.63,0
USR-341,726,318.77,0
USR-342,783,865.51,0
USR-343,132,531.05,0
USR-344,526,54.12,0
USR-345,1141,2.2,0
USR-346,410,45.2,0
USR-347,5,442.07,0
USR-348,644,28.8,0
USR-349,676,601.71,0
USR-350,366,474.96,0
USR-351,847,120.36,0
USR-352,624,137.59,0
USR-353,745,176.65,0
USR-354,640,81.52,0
USR-355,711,49.43,0
USR-356,543,26.83,0
USR-357,565,438.77,0
USR-358,1069,114.22,0
USR-359,774,90.53,0
USR-360,360,75.9,0
USR-361,370,29.59,0
USR-362,387,42.56,0
USR-363,1004,146.43,0
USR-364,250,261.79,0
USR-365,178,28.01,0
USR-366,1108,196.19,0
USR-367,187,36.92,0
USR-368,606,106.61,0
USR-369,624,131.7,0
USR-370,773,267.72,0
USR-371,972,27.01,0
USR-372,1038,95.75,0
USR-373,858,84.39,0
USR-374,822,118.5,0
USR-375,536,127.88,0
USR-376,448,183.18,0
USR-377,571,93.16,0
USR-378,919,299.57,0
USR-379,403,55.35,0
USR-380,412,46.92,0
USR-381,254,288.78,0
USR-382,536,95.22,0
USR-383,197,51.82,0
USR-384,346,35.21,0
USR-385,959,23.7,0
USR-386,446,23.62,0
USR-387,218,11.73,0
USR-388,1009,15.34,0
USR-389,103,230.25,0
USR-390,421,13.53,0
USR-391,887,122.23,0
USR-392,600,0.2,0
USR-393,870,156.44,0
USR-394,1039,84.23,0
USR-395,37,455.67,0
USR-396,75,84.22,0
USR-397,831,2.81,0
USR-398,567,141.53,0
USR-399,532,192.27,0
USR-400,935,18.25,0
USR-401,779,25.5,0
USR-402,28,100.09,0
USR-403,29,183.72,0
USR-404,602,32.08,0
USR-405,373,132.22,0
USR-406,1075,149.59,0
USR-407,95,160.11,0
USR-408,484,253.73,0
USR-409,811,231.28,0
USR-410,920,16.72,0
USR-411,650,179.89,0
USR-412,683,113.52,0
USR-413,212,23.84,0
USR-414,476,309.82,0
USR-415,599,19.86,0
USR-416,522,252.83,0
USR-417,343,85.76,0
USR-418,75,45.75,0
USR-419,794,158.58,0
USR-420,991,272.55,0
USR-421,945,13.5,0
USR-422,839,131.91,0
USR-423,772,159.34,0
USR-424,408,632.36,0
USR-425,277,426.39,0
USR-426,751,42.36,0
USR-427,131,87.32,0
USR-428,1033,139.32,0
USR-429,1127,522.78,0
USR-430,976,288.11,0
USR-431,201,25.62,0
USR-432,648,497.85,0
USR-433,293,264.87,0
USR-434,136,114.47,0
USR-435,773,397.18,0
USR-436,86,108.0,0
USR-437,51,171.4,0
USR-438,825,26.05,0
USR-439,140,18.76,0
USR-440,48,153.24,0
USR-441,790,21.67,0
USR-442,189,25.43,0
USR-443,1113,93.79,0
USR-444,98,122.01,0
USR-445,613,241.96,0
USR-446,345,112.26,0
USR-447,448,178.97,0
USR-448,1058,6.36,0
USR-449,1015,25.31,0
USR-450,651,131.02,1
USR-451,188,278.21,1
USR-452,537,33.58,1
USR-453,1015,22.32,1
USR-454,135,26.52,1
USR-455,685,259.57,1
USR-456,497,10.03,1
USR-457,1059,47.1,1
USR-458,137,385.18,1
USR-459,610,332.55,1
USR-460,628,243.51,1
USR-461,348,44.89,1
USR-462,1172,152.37,1
USR-463,1105,28.41,1
USR-464,472,172.86,1
USR-465,48,146.43,1
USR-466,588,126.34,1
USR-467,254,127.97,1
USR-468,417,201.71,1
USR-469,949,38.18,1
USR-470,544,293.56,1
USR-471,1132,127.62,1
USR-472,1035,182.05,1
USR-473,562,125.2,1
USR-474,413,20.71,1
USR-475,1066,40.08,1
USR-476,1132,14.03,1
USR-477,448,236.56,1
USR-478,963,111.41,1
USR-479,242,42.51,1
USR-480,611,27.61,1
USR-481,263,6.71,1
USR-482,1114,137.83,1
USR-483,596,125.46,1
USR-484,1061,51.06,1
USR-485,1024,70.26,0
USR-486,100,46.23,0
USR-487,572,405.68,0
USR-488,161,49.58,0
USR-489,256,199.11,0
USR-490,448,333.6,0
USR-491,954,127.06,0
USR-492,726,543.5,0
USR-493,308,577.8,0
USR-494,9,51.63,0
USR-495,326,291.15,0
USR-496,1041,79.19,0
USR-497,213,476.96,0
USR-498,543,87.86,0
USR-499,906,187.21,0
USR-500,556,96.37,0
USR-501,1140,384.58,0
USR-502,592,181.66,0
USR-503,356,365.11,0
USR-504,575,27.02,0
USR-505,919,136.74,0
USR-506,390,185.25,0
USR-507,90,23.17,0
USR-508,837,217.23,0
