pixel_id,band_02_blue,band_03_green,band_04_red,band_08_nir,land_cover_class
PX-0,0.1012,0.1923,0.0899,0.5963,Crops
PX-1,0.0923,0.0675,0.2689,0.1415,Urban
PX-2,0.2637,0.0634,0.0586,0.1822,Water
PX-3,0.0527,0.2232,0.0654,0.7248,Forest
PX-4,0.1042,0.1692,0.1639,0.6794,Crops
PX-5,0.0852,0.1979,0.1391,0.7069,Crops
PX-6,0.0726,0.1474,0.1189,0.6521,Crops
PX-7,0.0829,0.0419,0.2622,0.1451,Urban
PX-8,0.0445,0.1639,0.0387,0.6428,Forest
PX-9,0.2582,0.0545,0.0381,0.1317,Water
PX-10,0.0594,0.1791,0.1331,0.7032,Crops
PX-11,0.0529,0.0623,0.2851,0.0964,Urban
PX-12,0.0496,0.0612,0.2535,0.0855,Urban
PX-13,0.1023,0.1614,0.1113,0.6539,Crops
PX-14,0.0674,0.1762,0.1376,0.6409,Crops
PX-15,0.1107,0.1501,0.127,0.676,Crops
PX-16,0.0693,0.2073,0.1314,0.6319,Crops
PX-17,0.0459,0.1939,0.0577,0.7387,Forest
PX-18,0.0577,0.1902,0.0825,0.6184,Forest
PX-19,0.1047,0.2118,0.1247,0.7001,Crops
PX-20,0.0769,0.1752,0.0423,0.6394,Forest
PX-21,0.069,0.1575,0.1017,0.5782,Crops
PX-22,0.0832,0.1581,0.125,0.6595,Crops
PX-23,0.09,0.1786,0.0712,0.6398,Crops
PX-24,0.1023,0.2086,0.0463,0.6256,Forest
PX-25,0.279,0.0748,0.0459,0.0527,Water
PX-26,0.0728,0.2314,0.0927,0.6497,Crops
PX-27,0.0535,0.155,0.0314,0.709,Forest
PX-28,0.0717,0.2122,0.0662,0.6934,Forest
PX-29,0.0852,0.1689,0.1246,0.6523,Crops
PX-30,0.0607,0.1883,0.052,0.6892,Forest
PX-31,0.0609,0.1676,0.1261,0.6489,Crops
PX-32,0.0869,0.1618,0.1219,0.5928,Crops
PX-33,0.079,0.0937,0.3049,0.0632,Urban
PX-34,0.0807,0.0768,0.2825,0.1119,Urban
PX-35,0.0648,0.0605,0.2508,0.1136,Urban
PX-36,0.0754,0.207,0.1526,0.684,Crops
PX-37,0.0615,0.1497,0.1274,0.6803,Crops
PX-38,0.2678,0.0334,0.0382,0.1442,Water
PX-39,0.1007,0.1564,0.0249,0.6588,Forest
PX-40,0.0431,0.166,0.1279,0.5948,Crops
PX-41,0.0614,0.2032,0.0477,0.6865,Forest
PX-42,0.0501,0.1821,0.1515,0.671,Crops
PX-43,0.067,0.063,0.2731,0.0245,Urban
PX-44,0.0783,0.1518,0.1033,0.6166,Crops
PX-45,0.221,0.0761,0.0679,0.0924,Water
PX-46,0.0616,0.1848,0.1385,0.6547,Crops
PX-47,0.0599,0.2147,0.0534,0.6379,Forest
PX-48,0.0841,0.1621,0.0635,0.6685,Forest
PX-49,0.0814,0.1862,0.1192,0.6416,Crops
PX-50,0.0656,0.0362,0.2847,0.1136,Urban
PX-51,0.2535,0.0521,0.0733,0.0913,Water
PX-52,0.0691,0.0707,0.2925,0.0944,Urban
PX-53,0.0746,0.0618,0.2766,0.0768,Urban
PX-54,0.1135,0.183,0.077,0.6852,Forest
PX-55,0.1068,0.0601,0.2327,0.1428,Urban
PX-56,0.054,0.1494,0.161,0.6192,Crops
PX-57,0.0966,0.203,0.0859,0.7108,Crops
PX-58,0.0962,0.1759,0.1075,0.6374,Crops
PX-59,0.057,0.2024,0.1192,0.7112,Crops
PX-60,0.0964,0.1695,0.1171,0.6243,Crops
PX-61,0.1108,0.1695,0.1401,0.5689,Crops
PX-62,0.0575,0.0447,0.2588,0.1361,Urban
PX-63,0.0616,0.1975,0.1252,0.6599,Crops
PX-64,0.1004,0.1658,0.1084,0.6514,Crops
PX-65,0.0854,0.2129,0.0559,0.6443,Forest
PX-66,0.091,0.1724,0.1187,0.6486,Crops
PX-67,0.0868,0.0205,0.2819,0.0995,Urban
