order_id,pickup_x,pickup_y,dropoff_x,dropoff_y,package_weight_kg,promised_window_hr
ORD-1000,18.73,34.91,9.26,25.95,6.9,4
ORD-1001,47.54,26.8,27.1,23.96,6.6,4
ORD-1002,36.6,15.48,43.65,1.28,22.7,4
ORD-1003,29.93,40.69,36.61,17.06,6.6,4
ORD-1004,7.8,34.24,40.33,19.01,7.2,4
ORD-1005,7.8,8.13,32.94,19.94,19.1,1
ORD-1006,2.9,45.55,34.61,29.01,11.5,4
ORD-1007,43.31,41.13,42.46,26.68,19.5,4
ORD-1008,30.06,47.49,12.48,30.4,2.1,1
ORD-1009,35.4,36.29,24.47,38.24,12.4,1
ORD-1010,1.03,30.67,11.06,40.65,1.3,1
ORD-1011,48.5,20.91,49.38,35.91,2.0,1
ORD-1012,41.62,46.64,47.2,47.78,22.7,1
ORD-1013,10.62,43.3,1.97,0.91,3.9,1
ORD-1014,9.09,2.26,35.28,9.79,13.5,4
ORD-1015,9.17,1.32,46.26,0.38,10.6,4
ORD-1016,15.21,18.82,9.03,32.37,9.0,2
ORD-1017,26.24,40.53,28.4,44.9,22.5,4
ORD-1018,21.6,49.36,45.77,12.17,1.0,4
ORD-1019,14.56,7.52,1.7,46.35,16.8,1
ORD-1020,30.59,29.71,34.87,3.01,24.1,1
ORD-1021,6.97,19.04,14.87,46.72,14.2,4
ORD-1022,14.61,48.5,46.22,17.58,23.5,2
ORD-1023,18.32,42.11,48.55,5.07,1.8,1
ORD-1024,22.8,41.92,47.21,24.29,10.8,4
ORD-1025,39.26,23.43,23.71,12.84,6.9,4
ORD-1026,9.98,20.74,43.1,14.24,18.4,2
ORD-1027,25.71,13.67,42.23,15.36,24.5,2
ORD-1028,29.62,2.82,15.96,40.15,6.8,1
ORD-1029,2.32,43.24,41.45,26.96,16.5,2
ORD-1030,30.38,40.65,1.85,15.57,5.4,4
ORD-1031,8.53,49.99,29.81,30.52,14.4,4
ORD-1032,3.25,49.83,11.5,35.81,11.9,2
ORD-1033,47.44,27.77,6.03,13.63,24.3,2
ORD-1034,48.28,38.45,3.85,20.68,15.4,2
ORD-1035,40.42,47.24,34.81,6.09,9.1,2
